Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,Label
0,1000 Years for Revenge,0.0238,0.0074,39.8116,4,0.3455,0.0033,0.6,-0.0237,-0.0168,-0.0168,0.0238,0.3455,0.0033,0.0577,6,0.0087,2.1979,0.391,40.6667,0.0577,6,0.0577,6,0.0577,6,1,0
1,Bush vs. the Beltway,0.0174,0,0.262,2,0.3032,0.0029,0.8333,-0.0174,-0.0123,-0.0123,0.0174,0.3032,0.0029,0.0385,4,0.0074,1.8574,0.353,36.7167,0.0385,4,0.0385,4,0.0385,4,1,1
2,Charlie Wilson's War,0.0168,0.0005,2.789,2,0.3095,0.003,0.6667,-0.0168,-0.0118,-0.0118,0.0168,0.3095,0.003,0.0385,4,0.0073,1.8296,0.3425,35.6167,0.0385,4,0.0385,4,0.0385,4,1,1
3,Losing Bin Laden,0.1089,0.0761,407.5535,22,0.3714,0.0036,0.2095,-0.1088,-0.0769,-0.0769,0.1089,0.3714,0.0036,0.2212,23,0.0134,3.391,0.4987,51.8667,0.2212,23,0.2212,23,0.2212,23,1,1
4,Sleeping With the Devil,0.066,0.0629,337.0448,4,0.391,0.0038,0.25,-0.066,-0.0466,-0.0466,0.066,0.391,0.0038,0.0769,8,0.0103,2.5978,0.4335,45.0833,0.0769,8,0.0673,7,0.0769,8,1,0
5,The Man Who Warned America,0.03,0.0129,68.9888,6,0.3562,0.0034,0.5238,-0.03,-0.0212,-0.0212,0.03,0.3562,0.0034,0.0673,7,0.0094,2.3645,0.4046,42.0833,0.0673,7,0.0673,7,0.0673,7,1,1
6,Why America Slept,0.0445,0.0563,301.5286,7,0.3796,0.0036,0.1818,-0.0445,-0.0315,-0.0315,0.0445,0.3796,0.0036,0.1058,11,0.0113,2.8526,0.4447,46.25,0.1058,11,0.1058,11,0.1058,11,1,0
7,Ghost Wars,0.0803,0.0687,368.0882,5,0.4078,0.0039,0.1786,-0.0802,-0.0567,-0.0567,0.0803,0.4078,0.0039,0.0769,8,0.0108,2.7182,0.4511,46.9167,0.0769,8,0.0673,7,0.0769,8,1,0
8,A National Party No More,0.1284,0.0749,401.2052,36,0.3782,0.0036,0.2533,-0.1283,-0.0907,-0.0907,0.1284,0.3782,0.0036,0.2404,25,0.0134,3.3824,0.509,52.9333,0.2404,25,0.2404,25,0.2404,25,1,1
9,Bush Country,0.0941,0.0984,527.003,17,0.4062,0.0039,0.3,-0.094,-0.0665,-0.0665,0.0941,0.4062,0.0039,0.1538,16,0.0128,3.2366,0.4894,50.9,0.1538,16,0.1538,16,0.1538,16,1,1
